City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3
ubinskoye,RU,5.6,6.09,2.42,26.11,0.5,243.66,0.85
cabo san lucas,MX,2.14,6.17,2.74,64.37,0.37,198.6,1.17
betioky,MG,3.02,4.73,0.45,35.76,0.08,240.33,0.77
malabar,AU,10.42,11.24,10.71,85.83,10.37,283.72,1.08
lamu,KE,1.28,4.87,0.16,33.62,0.12,243.66,0.08
balabac,PH,0.81,1.27,0.29,47.92,0.13,393.87,0.03
bodaybo,RU,0.5,0.5,0.01,62.94,0.0,223.64,0.0
marsa alam,EG,14.43,37.55,0.25,89.41,1.7,203.61,0.17
santa cruz,BO,20.82,21.73,6.43,25.03,0.47,1321.79,1.27
san rafael,AR,0.96,3.93,0.63,43.99,0.12,220.3,0.62
mount pearl,CA,0.5,1.15,0.78,86.55,0.28,206.95,0.04
maralal,KE,1.15,1.66,1.54,23.6,0.13,205.28,4.75
kostomuksha,RU,1.46,2.08,1.09,56.51,0.21,213.62,0.04
gamay,PH,0.53,0.66,0.61,33.26,0.15,173.57,0.2
svetlyy yar,RU,3.73,4.04,1.37,65.09,0.54,223.64,0.06
klyuchi,RU,5.54,6.06,1.31,23.6,0.17,250.34,0.52
clovis,US,5.45,6.2,1.37,111.58,0.72,223.64,0.81
lampang,TH,29.0,30.29,3.47,47.21,4.41,433.92,0.0
tongouson,PH,1.18,1.31,0.35,25.03,0.06,340.46,0.23
lahad datu,MY,1.33,1.51,0.42,18.95,0.05,323.77,1.24
inari,FI,0.68,0.73,0.49,52.93,0.07,213.62,0.01
ataq,YE,42.07,165.66,1.05,55.79,1.13,203.61,0.19
kourou,GF,0.8,3.24,0.46,23.6,0.3,320.44,0.05
wainwright,CA,0.5,0.64,3.09,60.08,2.3,208.62,2.12
zhangjiakou,CN,3.32,9.9,1.86,62.23,0.89,200.27,3.39
oromocto,CA,0.58,0.71,1.91,46.49,0.12,213.62,0.05
san patricio,US,3.42,7.12,0.87,87.26,0.46,213.62,0.68
puerto ayacucho,VE,3.71,3.79,4.33,8.23,0.17,440.6,0.41
nacala,MZ,2.02,4.72,0.3,57.22,0.2,230.31,0.28
wad az zaki,SD,34.0,116.9,0.65,53.64,0.93,205.28,0.91
broken hill,AU,1.9,4.51,0.11,55.79,0.56,287.06,0.22
igarka,RU,0.5,1.49,0.18,67.23,0.06,226.97,0.0
kukuna,SL,4.0,4.86,0.8,1.23,0.1,340.46,0.34
cockburn town,TC,0.88,3.76,0.31,35.76,0.2,220.3,0.0
dom pedrito,BR,4.42,5.43,1.95,34.33,0.55,263.69,1.49
lae,PG,0.88,0.95,1.71,34.69,2.62,191.93,0.0
saint-pierre,RE,10.27,15.72,4.84,42.2,1.59,417.23,28.88
st. john's,CA,0.5,1.15,0.78,86.55,0.28,206.95,0.04
howrah,IN,93.45,120.29,31.53,16.45,25.75,1214.98,8.23
naze,JP,2.65,9.71,0.44,85.83,0.49,191.93,0.0
magburaka,SL,4.45,5.44,0.47,0.34,0.12,300.41,0.37
kayar,SN,35.33,153.29,3.81,87.26,3.93,413.9,3.1
sterling,US,4.18,4.93,10.2,50.78,0.44,273.71,1.01
coffs harbour,AU,2.61,5.01,0.43,46.49,0.32,210.29,0.16
khandyga,RU,0.5,0.53,0.01,50.07,0.0,240.33,0.0
masterton,NZ,0.91,1.18,0.32,56.51,0.12,205.28,1.16
qinhuangdao,CN,35.37,37.05,5.48,67.95,3.93,340.46,0.5
kenai,US,0.5,0.71,1.44,66.52,0.58,236.99,0.02
road town,VG,1.51,4.92,0.28,41.13,0.21,205.28,0.0
cudillero,ES,0.86,2.51,0.83,68.67,0.33,205.28,0.84
knokke,BE,1.75,2.36,7.63,50.78,1.37,216.96,2.57
vakhrushi,RU,0.54,0.79,1.26,13.05,0.03,230.31,0.03
lajinha,BR,2.79,3.42,1.23,29.33,0.09,287.06,0.95
cidade velha,CV,10.85,68.45,0.29,52.21,0.37,203.61,0.13
fort bragg,US,2.69,5.0,5.06,40.05,0.4,233.65,1.54
kutum,SD,45.26,193.66,0.06,61.51,0.24,171.9,0.0
afaahiti,PF,0.99,1.88,1.14,31.47,0.32,208.62,0.67
bure,ET,21.54,44.05,3.17,39.34,1.03,360.49,10.26
jirja,EG,13.02,34.77,12.85,37.91,5.07,233.65,24.83
hami,CN,54.44,297.38,3.38,67.95,1.12,208.62,1.47
midvagur,FO,0.62,1.33,0.15,70.1,0.12,201.94,0.0
nantucket,US,0.71,1.53,0.59,105.86,0.6,210.29,0.09
nong khae,TH,38.58,49.88,26.05,44.35,9.42,807.76,2.47
mucuri,BR,1.76,7.03,0.55,33.26,0.07,283.72,0.14
al qusayr,SY,7.91,10.01,4.67,40.77,2.53,210.29,2.69
constantia,RO,0.78,1.07,1.71,65.8,1.46,223.64,0.83
mezhdurechensk,RU,2.07,2.46,1.3,26.46,1.45,240.33,0.54
kachkanar,RU,4.12,4.45,4.2,23.96,3.25,250.34,0.27
sarina,AU,2.0,7.65,0.08,59.37,0.25,223.64,0.0
ola,RU,0.5,0.76,0.13,65.8,0.09,236.99,0.0
namibe,AO,13.27,51.97,0.08,64.37,0.44,213.62,0.0
ghat,LY,23.3,103.84,0.92,62.23,0.16,208.62,0.0
tonghae,KR,3.64,7.62,11.82,83.69,7.57,243.66,0.25
nar'yan-mar,RU,0.5,0.65,0.36,40.05,0.02,223.64,0.0
callao,PE,14.79,27.08,26.73,22.89,16.93,480.65,3.39
sinabang,ID,0.61,0.68,0.54,26.82,0.21,267.03,0.46
villa gesell,AR,2.81,5.19,0.71,50.07,0.13,260.35,0.35
warmbad,NA,5.45,25.23,0.16,56.51,0.07,211.95,0.05
maisi,GE,0.67,0.79,0.89,42.2,0.15,193.6,0.36
port saint john's,ZA,4.26,10.36,0.7,62.23,0.63,236.99,0.42
yueyang,CN,28.89,32.58,24.68,22.35,12.76,700.95,1.12
labrador city,CA,0.5,0.7,0.08,65.09,0.0,210.29,0.0
kertih,MY,5.05,5.25,3.98,59.37,0.79,417.23,0.14
irbit,RU,11.57,12.4,9.85,6.17,0.98,350.48,0.52
jinchang,CN,28.2,105.12,4.41,89.41,5.42,367.17,0.62
tarfaya,MA,4.77,25.61,0.24,85.12,0.42,201.94,0.0
kingisepp,RU,2.15,2.94,2.7,44.35,0.35,233.65,0.09
salmon arm,CA,0.5,0.81,2.79,46.49,0.35,223.64,1.27
pordic,FR,1.34,3.32,1.37,56.51,0.38,208.62,1.52
jining,CN,12.4,14.79,7.88,76.53,5.36,330.45,2.09
yanchep,AU,1.6,6.44,0.08,54.36,0.25,223.64,0.12
egilsstadir,IS,0.6,1.01,0.18,47.92,0.02,216.96,0.14
codrington,AU,1.46,1.67,1.07,31.47,0.97,293.73,0.09
debre tabor,ET,28.62,58.35,2.61,58.65,1.51,343.8,10.77
conceicao da barra,BR,1.91,7.25,0.69,32.19,0.09,283.72,0.16
wynyard,AU,3.28,3.57,3.0,49.35,0.82,247.0,0.02
