City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3,MortalityRate_per_100k
usinsk,RU,0.5,0.5,0.2,51.5,0.0,227.0,0.0,17.4
ust-nera,RU,0.5,0.6,0.0,47.2,0.0,213.6,0.0,17.4
vadso,NO,0.6,0.6,0.5,47.2,0.0,217.0,0.0,3.6
vakhrushi,RU,0.5,0.8,1.3,13.0,0.0,230.3,0.0,17.4
vikhorevka,RU,0.5,0.5,0.3,76.5,0.1,227.0,0.0,17.4
vila franca do campo,PT,1.2,5.5,0.4,94.4,0.3,198.6,0.0,4.7
vila velha,BR,1.8,5.3,2.8,19.0,0.9,270.4,0.4,9.6
villa gesell,AR,2.8,5.2,0.7,50.1,0.1,260.4,0.4,10.7
vilyuchinsk,RU,0.5,0.6,0.1,66.5,0.1,223.6,0.0,17.4
vorgashor,RU,0.5,0.8,0.5,53.6,0.2,227.0,0.0,17.4
vorkuta,RU,0.5,0.8,1.2,53.6,0.4,230.3,0.0,17.4
wad az zaki,SD,34.0,116.9,0.6,53.6,0.9,205.3,0.9,24.8
wailua homesteads,US,2.1,10.2,0.3,60.1,0.1,185.2,0.0,5.7
wainwright,CA,0.5,0.6,3.1,60.1,2.3,208.6,2.1,3.4
waitangi,NZ,0.6,1.9,0.0,55.8,0.1,227.0,0.0,4.3
weno,FM,0.5,1.0,0.1,19.3,0.0,176.9,0.0,17.1
whakatane,NZ,4.0,4.6,0.1,59.4,12.4,220.3,0.0,4.3
whitehorse,CA,0.5,0.5,0.4,62.9,0.1,220.3,0.0,3.4
wynyard,AU,3.3,3.6,3.0,49.4,0.8,247.0,0.0,3.2
xai-xai,MZ,1.7,4.7,0.4,52.2,0.2,233.6,0.5,23.9
xingcheng,CN,3.9,4.7,4.0,55.1,2.5,247.0,1.4,26.6
xining,CN,50.2,58.5,26.0,68.7,31.0,433.9,0.1,26.6
xiongzhou,CN,55.7,61.1,6.6,110.2,11.0,313.8,0.0,26.6
yanchep,AU,1.6,6.4,0.1,54.4,0.2,223.6,0.1,3.2
yellowknife,CA,0.5,0.5,0.0,50.1,0.0,217.0,0.0,3.4
yeniseysk,RU,0.5,0.6,1.1,70.1,0.9,233.6,0.2,17.4
yerbabuena,MX,0.9,1.2,2.4,62.2,0.5,181.9,0.9,10.7
yetkul',RU,9.8,12.5,20.9,9.7,7.8,390.5,2.5,17.4
yueyang,CN,28.9,32.6,24.7,22.4,12.8,701.0,1.1,26.6
yuzhno-kurilsk,RU,1.5,2.8,0.4,98.7,0.5,213.6,0.1,17.4
zag,MN,0.6,2.0,0.2,70.1,0.4,173.6,0.1,44.3
zaragoza,ES,0.5,0.7,0.9,67.2,0.1,203.6,1.0,4.2
zavoronezhskoye,RU,1.0,1.1,0.7,75.8,0.1,227.0,0.1,17.4
zhangatas,KZ,4.6,15.4,2.0,54.4,3.7,230.3,0.1,30.5
zhangjiakou,CN,3.3,9.9,1.9,62.2,0.9,200.3,3.4,26.6
zvishavane,ZW,2.7,4.7,1.2,19.0,0.4,233.6,0.8,21.2
