Country,Year,MortalityRate_per_100k
WB_LIMI,2019,7.4076
WPR,2019,0.12067
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.08073
WB_LIMI,2019,12.38685
GNB,2019,38.26614
SGP,2019,39.0345
ROU,2019,3.18441
WB_LIMI,2019,0.05416
GLOBAL,2019,0.10098
JAM,2019,1.63692
URY,2019,2.38177
ALB,2019,3.97245
419,2019,0.43122
EUR,2019,2.84038
30,2019,0.35313
145,2019,0.50055
UNSDG_SUBSAHARANAFRICA,2019,0.03694
SEAR,2019,0.03457
AMR,2019,2.89711
202,2019,0.09771
WB_LIMI,2019,0.46147
SEAR,2019,1.65715
WB_HI,2019,0.00529
CMR,2019,19.398
UNSDG_CENTRALASIASOUTHERNASIA,2019,2.11487
UNSDG_SUBSAHARANAFRICA,2019,0.25873
EUR,2019,0.13295
34,2019,0.8351
9,2019,1.05227
145,2019,0.87547
WB_HI,2019,6.82424
WB_HI,2019,0.05505
OMN,2019,3.31615
UNSDG_SUBSAHARANAFRICA,2019,0.57099
WB_HI,2019,0.01301
SEAR,2019,1.284
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,77.84033
NZL,2019,1.25353
KAZ,2019,4.094
JAM,2019,10.5289
15,2019,0.33375
EUR,2019,0.2445
34,2019,0.20193
GNQ,2019,5.45833
BRB,2019,19.89851
EMR,2019,0.12801
SEAR,2019,0.7566
EUR,2019,1.03371
150,2019,0.04898
202,2019,1.10252
MYS,2019,24.42977
JOR,2019,0.70692
CAF,2019,9.25008
GEO,2019,4.67317
LKA,2019,5.17397
GUY,2019,41.78401
CIV,2019,16.08799
GLOBAL,2019,2.9776
GNB,2019,0.13695
CHL,2019,3.95703
IDN,2019,0.92434
UNSDG_LAC,2019,1.61743
419,2019,0.47722
CAN,2019,1.71462
EUR,2019,21.54911
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.11252
EUR,2019,0.03438
HRV,2019,3.18588
ERI,2019,43.1794
UNSDG_OCEANIAexAUSNZL,2019,0.16767
UNSDG_AUSTRALIANEWZEALAND,2019,0.00123
LUX,2019,1.82392
MUS,2019,25.80568
POL,2019,8.14653
419,2019,6.79861
GTM,2019,9.19941
EUR,2019,0.00177
UNSDG_WESTERNASIANORTHERNAFR,2019,2.99312
HUN,2019,2.32597
UNSDG_WESTERNASIANORTHERNAFR,2019,2.54379
UNSDG_AUSTRALIANEWZEALAND,2019,0.00344
15,2019,0.05987
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.0102
BTN,2019,10.9363
THA,2019,51.10819
30,2019,0.51346
15,2019,0.06066
UNSDG_WESTERNASIANORTHERNAFR,2019,0.15388
SEAR,2019,0.18546
30,2019,0.00507
UNSDG_AUSTRALIANEWZEALAND,2019,0.2518
UNSDG_EUROPENORTHERNAMR,2019,2.37828
34,2019,1.50138
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.00785
IRN,2019,31.7155
BWA,2019,6.86165
ARE,2019,0.2377
COL,2019,15.55096
AMR,2019,0.27906
HTI,2019,16.71436
EUR,2019,0.57368
WB_HI,2019,0.04623
LVA,2019,3.32123
UNSDG_EUROPENORTHERNAMR,2019,3.00008
419,2019,0.08199
UNSDG_EUROPENORTHERNAMR,2019,0.00217
SSD,2019,4.8815
UNSDG_LAC,2019,0.1018
AMR,2019,0.09702
BGR,2019,36.87163
AFR,2019,0.27855
AMR,2019,0.04159
IND,2019,9.31325
145,2019,2.71709
145,2019,3.23636
150,2019,10.93015
FRA,2019,3.38024
145,2019,0.44952
BHS,2019,0.11669
150,2019,0.20052
WPR,2019,5.717
GNQ,2019,0.20736
DJI,2019,0.16279
35,2019,0.02791
143,2019,0.22045
EST,2019,28.89634
UNSDG_AUSTRALIANEWZEALAND,2019,0.00022
NOR,2019,1.96058
TZA,2019,2.76637
EUR,2019,0.02812
UNSDG_LAC,2019,0.00221
MWI,2019,18.81576
WPR,2019,7.75091
ESP,2019,2.80063
AMR,2019,0.30718
419,2019,1.95607
WPR,2019,0.20851
EUR,2019,0.41398
PRK,2019,98.8153
TCD,2019,2.18241
MRT,2019,25.85208
TUR,2019,3.26035
GLOBAL,2019,1.04392
34,2019,0.02644
SEAR,2019,2.13569
WPR,2019,0.52117
SEN,2019,11.31398
419,2019,0.20199
9,2019,0.00028
DOM,2019,1.42655
UNSDG_AUSTRALIANEWZEALAND,2019,0.18285
WPR,2019,0.03101
TKM,2019,0.84823
BHR,2019,4.44809
SEAR,2019,3.618
UNSDG_EUROPENORTHERNAMR,2019,2.16581
150,2019,0.10828
9,2019,0.09775
MRT,2019,8.99213
419,2019,0.68354
ATG,2019,22.42446
