Country,Year,MortalityRate_per_100k
SLE,2013,20.062
BTN,2011,31.563
NZL,2019,1.817
PRY,2012,29.301
ARM,2015,49.491
KHM,2018,15.332
ALB,2015,16.962
IRL,2016,1.294
DNK,2010,7.86
HRV,2010,0.575
PER,2015,11.909
CIV,2010,18.735
FSM,2019,9.571
AUT,2011,0.85
MRT,2018,2.883
CAF,2019,0.271
PNG,2018,0.469
PNG,2016,6.556
UGA,2019,24.989
WPR,2014,17.507
LTU,2013,27.836
BTN,2015,16.244
VCT,2018,16.177
KAZ,2011,25.04
EUR,2014,33.629
HTI,2016,3.639
LKA,2012,2.999
EST,2014,1.749
ATG,2016,5.13
UKR,2013,0.956
SWE,2011,0.883
POL,2015,6.295
TGO,2014,0.144
TON,2014,8.779
BTN,2015,7.252
TKM,2011,0.596
UZB,2018,6.379
USA,2012,2.031
UZB,2016,7.226
STP,2016,31.231
TGO,2015,45.85
DEU,2012,1.213
ARM,2010,5.3
MRT,2010,3.575
KEN,2016,10.348
SEN,2018,6.28
GRD,2013,24.694
NIC,2015,45.185
COG,2010,0.29
NZL,2011,2.156
SLB,2010,7.712
GBR,2013,2.535
AFG,2013,83.327
LCA,2015,0.089
GMB,2018,32.583
TTO,2018,0.242
TCD,2012,9.134
COL,2010,28.392
POL,2012,5.417
NPL,2013,10.162
ESP,2013,0.671
DNK,2014,2.389
NLD,2016,9.72
ZMB,2016,16.443
MYS,2010,0.902
CHN,2013,37.808
LAO,2017,6.037
CMR,2018,26.839
MYS,2012,11.095
PRT,2012,2.119
POL,2016,6.708
ZMB,2015,22.98
KGZ,2013,5.483
MMR,2010,22.668
CHN,2019,48.46
PNG,2013,7.301
PHL,2010,37.582
LSO,2019,101.108
GNQ,2018,21.126
SAU,2012,24.47
LTU,2016,31.108
SLB,2012,32.322
STP,2014,31.239
BHS,2018,1.135
AMR,2010,4.421
ARE,2011,10.292
IRQ,2010,1.603
BFA,2012,16.062
AFR,2016,24.858
LBN,2010,66.122
LBR,2015,12.008
LTU,2013,37.54
AGO,2019,3.543
TON,2018,0.93
WSM,2019,18.746
STP,2010,1.654
LBR,2017,60.352
NIC,2012,1.069
GUY,2019,0.36
FRA,2014,2.048
JPN,2019,0.875
LBR,2013,24.571
TZA,2017,10.264
QAT,2015,5.134
NAM,2017,17.561
GMB,2015,0.039
EUR,2014,8.558
SLB,2016,0.409
BHS,2015,0.138
SEAR,2017,64.746
BIH,2012,55.05
DEU,2016,2.399
CUB,2015,20.767
KGZ,2018,76.918
SLE,2019,18.807
CUB,2010,1.873
BGR,2017,70.299
NLD,2012,19.42
TJK,2011,114.491
ERI,2013,21.981
EUR,2015,41.687
FJI,2019,0.173
MLI,2011,0.246
CYP,2019,0.65
BDI,2012,10.016
BGD,2011,0.845
SAU,2018,10.44
SVK,2018,31.227
CIV,2014,23.043
BTN,2010,16.661
BRA,2014,5.983
POL,2019,5.825
SVK,2011,5.052
TLS,2017,1.406
GHA,2016,0.309
MLI,2015,23.134
MLI,2019,25.46
MEX,2018,15.316
BEL,2018,2.073
DOM,2015,27.683
MKD,2010,29.751
YEM,2019,22.119
MYS,2018,2.205
ISR,2017,2.191
CHE,2018,9.508
TCD,2019,29.089
YEM,2012,12.828
BTN,2017,14.192
TZA,2012,39.316
MLT,2012,0.735
NOR,2011,1.173
FJI,2016,40.355
GEO,2017,61.668
WSM,2010,19.447
ISR,2014,1.942
GUY,2011,0.253
YEM,2015,7.688
BLZ,2012,0.467
NAM,2013,11.23
DJI,2017,20.697
TUN,2018,68.706
BFA,2017,36.108
KEN,2016,1.724
WPR,2015,4.557
NPL,2012,2.525
ZWE,2016,30.047
SWE,2012,0.433
JPN,2012,1.96
DEU,2011,2.79
MDA,2013,1.407
QAT,2011,4.429
USA,2011,1.107
GLOBAL,2016,33.717
KOR,2015,16.636
NIC,2014,7.795
VNM,2012,4.587
SVN,2016,3.495
CHE,2013,1.481
NAM,2017,62.583
PAK,2016,91.657
RUS,2016,0.451
MRT,2015,0.76
GMB,2017,1.191
PRT,2017,1.897
ATG,2015,1.971
